OBD_No,OBD_Date,Goods_Issue_Time,Pick_Time,Pick_Date
35725680,07-08-2023,0 days 14:45:00,0 days 10:15:00,09-08-2023
35727682,30-04-2023,0 days 11:00:00,0 days 11:00:00,01-05-2023
35733346,22-10-2023,0 days 16:30:00,0 days 00:00:00,
35735576,27-01-2022,0 days 15:00:00,0 days 09:00:00,28-01-2022
35742829,03-06-2022,0 days 13:00:00,0 days 11:15:00,04-06-2022
35748341,08-10-2022,0 days 14:15:00,0 days 12:15:00,08-10-2022
35749206,,0 days 00:00:00,0 days 00:00:00,
35749878,04-07-2023,0 days 14:45:00,0 days 00:00:00,
35749946,19-10-2022,0 days 10:45:00,0 days 11:45:00,21-10-2022
35750822,09-08-2023,0 days 13:15:00,0 days 15:00:00,10-08-2023
35752441,21-11-2023,0 days 11:00:00,0 days 00:00:00,
35753127,30-10-2022,0 days 11:30:00,0 days 09:30:00,31-10-2022
35754346,30-01-2023,0 days 15:30:00,0 days 12:00:00,30-01-2023
35756766,07-04-2023,0 days 17:00:00,0 days 15:15:00,09-04-2023
35756927,04-03-2022,0 days 16:00:00,0 days 09:30:00,06-03-2022
35758531,,0 days 00:00:00,0 days 00:00:00,
35765730,13-06-2023,0 days 10:45:00,0 days 16:15:00,13-06-2023
35766487,15-04-2022,0 days 17:00:00,0 days 10:30:00,16-04-2022
35767377,30-06-2023,0 days 11:15:00,0 days 10:15:00,01-07-2023
35768275,01-10-2023,0 days 15:00:00,0 days 00:00:00,
35769136,09-09-2023,0 days 17:00:00,0 days 00:00:00,
35769858,20-11-2022,0 days 13:30:00,0 days 14:00:00,22-11-2022
35772108,,0 days 00:00:00,0 days 00:00:00,
35775293,30-05-2023,0 days 16:00:00,0 days 16:15:00,31-05-2023
35777348,,0 days 00:00:00,0 days 00:00:00,
35777951,06-10-2023,0 days 09:30:00,0 days 00:00:00,
35782294,18-11-2022,0 days 09:30:00,0 days 13:15:00,20-11-2022
35783792,,0 days 00:00:00,0 days 00:00:00,
35784496,08-06-2023,0 days 10:00:00,0 days 00:00:00,
35786464,03-05-2023,0 days 16:15:00,0 days 10:15:00,04-05-2023
35788686,27-03-2022,0 days 13:15:00,0 days 12:00:00,29-03-2022
35788800,04-11-2023,0 days 13:45:00,0 days 11:15:00,06-11-2023
35789456,15-09-2022,0 days 14:45:00,0 days 13:00:00,16-09-2022
35791245,18-04-2023,0 days 09:00:00,0 days 09:15:00,19-04-2023
35793154,05-10-2022,0 days 15:00:00,0 days 10:15:00,05-10-2022
35793646,06-12-2022,0 days 12:00:00,0 days 11:15:00,07-12-2022
35795744,17-01-2023,0 days 17:30:00,0 days 09:15:00,19-01-2023
35802765,,0 days 00:00:00,0 days 00:00:00,
35802809,,0 days 00:00:00,0 days 00:00:00,
35803109,17-11-2022,0 days 17:15:00,0 days 16:00:00,18-11-2022
35805259,,0 days 00:00:00,0 days 00:00:00,
35809507,,0 days 00:00:00,0 days 00:00:00,
35812043,07-03-2022,0 days 10:15:00,0 days 14:00:00,08-03-2022
35815774,,0 days 00:00:00,0 days 00:00:00,
35820301,13-08-2022,0 days 15:30:00,0 days 12:15:00,14-08-2022
35824230,20-12-2022,0 days 11:30:00,0 days 09:30:00,21-12-2022
35827078,10-02-2022,0 days 09:45:00,0 days 14:30:00,12-02-2022
35828840,09-04-2022,0 days 14:45:00,0 days 15:30:00,10-04-2022
35829274,05-09-2022,0 days 14:30:00,0 days 17:45:00,06-09-2022
35831787,19-04-2023,0 days 17:00:00,0 days 15:15:00,21-04-2023
35833126,25-02-2022,0 days 14:15:00,0 days 12:00:00,25-02-2022
35839651,10-12-2023,0 days 14:00:00,0 days 14:45:00,11-12-2023
35839977,23-03-2024,0 days 10:00:00,0 days 11:30:00,24-03-2024
35840463,,0 days 00:00:00,0 days 00:00:00,
35842902,,0 days 00:00:00,0 days 00:00:00,
35843038,,0 days 00:00:00,0 days 00:00:00,
35845239,,0 days 00:00:00,0 days 00:00:00,
35845654,08-07-2022,0 days 11:45:00,0 days 17:15:00,10-07-2022
35847589,29-09-2022,0 days 10:30:00,0 days 16:45:00,29-09-2022
35847700,,0 days 00:00:00,0 days 00:00:00,
35847705,09-01-2022,0 days 15:15:00,0 days 15:15:00,10-01-2022
35848410,03-04-2023,0 days 14:00:00,0 days 10:30:00,05-04-2023
35849020,22-11-2023,0 days 12:00:00,0 days 14:15:00,23-11-2023
35849309,11-04-2023,0 days 16:45:00,0 days 17:15:00,13-04-2023
35849313,23-01-2023,0 days 12:30:00,0 days 13:00:00,23-01-2023
35850974,12-02-2023,0 days 15:30:00,0 days 16:45:00,12-02-2023
35855513,18-01-2022,0 days 11:00:00,0 days 13:15:00,18-01-2022
35855792,20-12-2023,0 days 09:45:00,0 days 15:00:00,22-12-2023
35856800,30-12-2023,0 days 11:45:00,0 days 00:00:00,
35858441,18-07-2023,0 days 17:00:00,0 days 15:45:00,19-07-2023
35860278,26-09-2022,0 days 16:00:00,0 days 17:45:00,28-09-2022
35865819,20-10-2024,0 days 11:45:00,0 days 16:15:00,21-10-2024
35873158,12-01-2022,0 days 14:15:00,0 days 14:30:00,13-01-2022
35876875,18-01-2022,0 days 13:15:00,0 days 12:15:00,19-01-2022
35883252,25-06-2023,0 days 16:45:00,0 days 16:00:00,27-06-2023
35884060,15-10-2024,0 days 14:45:00,0 days 00:00:00,
35884872,13-02-2024,0 days 12:15:00,0 days 15:45:00,15-02-2024
35885543,12-11-2023,0 days 13:00:00,0 days 00:00:00,
35888304,23-09-2023,0 days 09:00:00,0 days 10:15:00,25-09-2023
35888722,21-08-2022,0 days 10:15:00,0 days 13:15:00,23-08-2022
35891136,19-04-2022,0 days 10:15:00,0 days 14:30:00,20-04-2022
35894291,02-09-2022,0 days 16:45:00,0 days 15:45:00,03-09-2022
35895776,20-07-2022,0 days 17:15:00,0 days 17:30:00,22-07-2022
35896518,02-05-2023,0 days 12:15:00,0 days 00:00:00,
35896771,06-09-2023,0 days 15:45:00,0 days 09:15:00,07-09-2023
35898734,23-05-2023,0 days 12:30:00,0 days 14:45:00,24-05-2023
35899062,16-03-2023,0 days 16:00:00,0 days 14:45:00,16-03-2023
35902794,,0 days 00:00:00,0 days 00:00:00,
35908259,,0 days 00:00:00,0 days 00:00:00,
35908602,24-07-2023,0 days 10:15:00,0 days 13:45:00,25-07-2023
35914259,16-10-2022,0 days 16:30:00,0 days 12:45:00,18-10-2022
35914696,14-05-2022,0 days 14:00:00,0 days 12:30:00,14-05-2022
35916342,,0 days 00:00:00,0 days 00:00:00,
35917954,19-05-2023,0 days 10:30:00,0 days 00:00:00,
35918591,03-08-2022,0 days 15:15:00,0 days 13:45:00,03-08-2022
35925975,05-02-2023,0 days 14:30:00,0 days 17:30:00,06-02-2023
35929785,20-12-2022,0 days 14:15:00,0 days 16:30:00,21-12-2022
35930646,,0 days 00:00:00,0 days 00:00:00,
35937389,,0 days 00:00:00,0 days 00:00:00,
35938895,28-12-2023,0 days 13:30:00,0 days 00:00:00,
35939489,18-02-2022,0 days 12:30:00,0 days 13:30:00,20-02-2022
35940199,09-02-2022,0 days 11:30:00,0 days 14:45:00,10-02-2022
35941744,23-02-2022,0 days 17:30:00,0 days 14:45:00,24-02-2022
35945352,16-10-2023,0 days 15:15:00,0 days 00:00:00,
35945431,24-06-2023,0 days 09:15:00,0 days 00:00:00,
35947867,14-12-2023,0 days 14:00:00,0 days 13:45:00,14-12-2023
35951933,,0 days 00:00:00,0 days 00:00:00,
35954518,14-04-2022,0 days 10:30:00,0 days 17:45:00,16-04-2022
35956606,,0 days 00:00:00,0 days 00:00:00,
35959953,11-12-2022,0 days 11:00:00,0 days 09:45:00,13-12-2022
35960277,,0 days 00:00:00,0 days 00:00:00,
35970823,02-03-2023,0 days 12:30:00,0 days 00:00:00,
35970938,07-07-2023,0 days 13:15:00,0 days 16:45:00,08-07-2023
35972175,27-04-2022,0 days 14:45:00,0 days 16:30:00,29-04-2022
35973235,23-10-2022,0 days 14:30:00,0 days 16:45:00,23-10-2022
35974662,,0 days 00:00:00,0 days 00:00:00,
35975112,04-11-2022,0 days 12:30:00,0 days 14:30:00,06-11-2022
35975428,29-04-2023,0 days 13:00:00,0 days 14:30:00,29-04-2023
35976666,05-09-2022,0 days 13:45:00,0 days 15:00:00,05-09-2022
35977719,09-04-2023,0 days 09:30:00,0 days 00:00:00,
35980604,,0 days 00:00:00,0 days 00:00:00,
35983948,10-02-2022,0 days 14:30:00,0 days 13:15:00,12-02-2022
35989726,,0 days 00:00:00,0 days 00:00:00,
35994863,,0 days 00:00:00,0 days 00:00:00,
35995111,13-06-2023,0 days 12:45:00,0 days 12:30:00,15-06-2023
35997241,,0 days 00:00:00,0 days 00:00:00,
35998100,15-11-2023,0 days 16:30:00,0 days 09:45:00,17-11-2023
36000523,,0 days 00:00:00,0 days 00:00:00,
36003419,,0 days 00:00:00,0 days 00:00:00,
36008159,25-03-2022,0 days 11:30:00,0 days 11:30:00,27-03-2022
36009611,19-06-2023,0 days 12:45:00,0 days 16:00:00,19-06-2023
36014108,11-02-2022,0 days 09:45:00,0 days 14:15:00,13-02-2022
36018253,08-12-2023,0 days 10:30:00,0 days 10:15:00,09-12-2023
36018969,29-05-2022,0 days 12:15:00,0 days 12:00:00,29-05-2022
36023004,29-04-2023,0 days 09:15:00,0 days 00:00:00,
36025314,25-12-2022,0 days 13:45:00,0 days 10:15:00,26-12-2022
36031180,06-12-2022,0 days 14:45:00,0 days 09:15:00,07-12-2022
36035642,15-03-2024,0 days 17:30:00,0 days 10:00:00,15-03-2024
36036342,03-01-2024,0 days 16:45:00,0 days 00:00:00,
36036551,09-04-2023,0 days 12:15:00,0 days 17:15:00,10-04-2023
36037491,18-07-2023,0 days 14:15:00,0 days 00:00:00,
36040410,07-04-2023,0 days 17:30:00,0 days 00:00:00,
36041396,12-02-2022,0 days 15:45:00,0 days 16:15:00,13-02-2022
36047525,27-01-2024,0 days 13:15:00,0 days 00:00:00,
36049312,29-03-2022,0 days 09:30:00,0 days 16:00:00,29-03-2022
36051122,,0 days 00:00:00,0 days 00:00:00,
36058996,22-11-2023,0 days 10:15:00,0 days 14:45:00,22-11-2023
36062717,29-07-2023,0 days 10:15:00,0 days 00:00:00,
36068867,17-02-2024,0 days 13:45:00,0 days 17:30:00,18-02-2024
36076367,20-12-2023,0 days 09:45:00,0 days 00:00:00,
36078628,,0 days 00:00:00,0 days 00:00:00,
36082023,14-11-2022,0 days 17:30:00,0 days 14:15:00,14-11-2022
36082385,01-01-2023,0 days 13:45:00,0 days 16:45:00,03-01-2023
36088942,08-02-2024,0 days 17:45:00,0 days 00:00:00,
36091819,19-05-2024,0 days 14:45:00,0 days 11:30:00,20-05-2024
36096178,18-02-2024,0 days 11:15:00,0 days 00:00:00,
36098808,06-04-2023,0 days 13:00:00,0 days 13:00:00,06-04-2023
36101315,02-02-2022,0 days 16:45:00,0 days 10:15:00,03-02-2022
36104468,05-07-2022,0 days 13:45:00,0 days 11:15:00,06-07-2022
36107880,29-09-2023,0 days 14:30:00,0 days 00:00:00,
36113612,28-07-2022,0 days 16:30:00,0 days 15:45:00,29-07-2022
36113745,02-08-2023,0 days 10:15:00,0 days 12:30:00,02-08-2023
36114449,,0 days 00:00:00,0 days 00:00:00,
36117564,21-09-2023,0 days 16:00:00,0 days 00:00:00,
36119862,27-04-2022,0 days 14:00:00,0 days 11:30:00,29-04-2022
36125671,19-11-2022,0 days 09:45:00,0 days 17:15:00,21-11-2022
36128695,,0 days 00:00:00,0 days 00:00:00,
36130581,22-02-2022,0 days 17:45:00,0 days 14:30:00,22-02-2022
36131252,,0 days 00:00:00,0 days 00:00:00,
36131938,22-12-2022,0 days 11:00:00,0 days 11:30:00,23-12-2022
36132262,27-11-2022,0 days 10:00:00,0 days 14:00:00,29-11-2022
36136297,03-10-2022,0 days 16:30:00,0 days 17:15:00,03-10-2022
36137395,09-11-2023,0 days 14:30:00,0 days 15:45:00,11-11-2023
36141770,21-05-2023,0 days 15:45:00,0 days 16:30:00,21-05-2023
36146725,09-01-2022,0 days 13:30:00,0 days 11:45:00,11-01-2022
36151974,05-01-2022,0 days 17:15:00,0 days 12:00:00,05-01-2022
36156080,28-11-2023,0 days 16:30:00,0 days 11:30:00,29-11-2023
36156848,30-04-2024,0 days 12:45:00,0 days 09:30:00,01-05-2024
36157506,27-09-2023,0 days 11:15:00,0 days 00:00:00,
36159411,24-10-2022,0 days 15:30:00,0 days 14:15:00,26-10-2022
36159865,,0 days 00:00:00,0 days 00:00:00,
36161578,25-06-2023,0 days 17:15:00,0 days 11:00:00,26-06-2023
36164817,30-03-2023,0 days 15:00:00,0 days 13:30:00,30-03-2023
36166856,30-07-2023,0 days 12:30:00,0 days 12:30:00,30-07-2023
36169665,13-02-2022,0 days 17:45:00,0 days 13:15:00,15-02-2022
36170767,07-08-2023,0 days 13:30:00,0 days 00:00:00,
36173920,26-11-2022,0 days 12:00:00,0 days 15:15:00,27-11-2022
36175623,13-05-2023,0 days 14:30:00,0 days 12:15:00,14-05-2023
36176623,19-02-2024,0 days 14:30:00,0 days 12:30:00,21-02-2024
36177761,12-02-2022,0 days 11:00:00,0 days 09:45:00,14-02-2022
36188180,26-02-2022,0 days 16:30:00,0 days 12:00:00,28-02-2022
36189702,26-11-2022,0 days 17:45:00,0 days 13:30:00,28-11-2022
36190547,13-01-2023,0 days 12:45:00,0 days 10:15:00,14-01-2023
36190686,17-01-2022,0 days 17:45:00,0 days 14:30:00,18-01-2022
36193780,17-11-2022,0 days 16:45:00,0 days 10:30:00,18-11-2022
36194518,06-07-2023,0 days 11:30:00,0 days 12:45:00,08-07-2023
36197875,,0 days 00:00:00,0 days 00:00:00,
36202279,,0 days 00:00:00,0 days 00:00:00,
36203586,10-05-2023,0 days 17:30:00,0 days 00:00:00,
36204095,19-11-2022,0 days 09:45:00,0 days 13:45:00,21-11-2022
36205020,,0 days 00:00:00,0 days 00:00:00,
36206158,,0 days 00:00:00,0 days 00:00:00,
36213529,08-10-2022,0 days 14:00:00,0 days 17:45:00,08-10-2022
36223057,,0 days 00:00:00,0 days 00:00:00,
36223838,16-05-2023,0 days 11:15:00,0 days 09:45:00,17-05-2023
36224131,,0 days 00:00:00,0 days 00:00:00,
36227100,04-07-2023,0 days 16:45:00,0 days 00:00:00,
36227307,22-09-2023,0 days 17:15:00,0 days 14:15:00,23-09-2023
36227667,29-11-2023,0 days 17:45:00,0 days 16:30:00,30-11-2023
36229053,,0 days 00:00:00,0 days 00:00:00,
36229153,,0 days 00:00:00,0 days 00:00:00,
36232612,10-02-2022,0 days 11:45:00,0 days 17:00:00,12-02-2022
36233131,14-06-2022,0 days 14:45:00,0 days 12:15:00,14-06-2022
36237211,10-07-2023,0 days 16:00:00,0 days 00:00:00,
36248260,02-05-2022,0 days 15:00:00,0 days 16:00:00,02-05-2022
36250336,18-07-2023,0 days 16:30:00,0 days 16:45:00,19-07-2023
36252326,,0 days 00:00:00,0 days 00:00:00,
36252367,28-06-2022,0 days 10:00:00,0 days 16:00:00,30-06-2022
36252476,29-07-2023,0 days 15:30:00,0 days 00:00:00,
36260378,17-06-2022,0 days 11:15:00,0 days 09:15:00,19-06-2022
36260542,25-10-2023,0 days 13:00:00,0 days 17:00:00,27-10-2023
36261988,17-10-2023,0 days 15:30:00,0 days 12:00:00,17-10-2023
36265282,,0 days 00:00:00,0 days 00:00:00,
36265483,29-06-2022,0 days 13:45:00,0 days 14:15:00,01-07-2022
36267599,,0 days 00:00:00,0 days 00:00:00,
36268050,13-02-2024,0 days 16:30:00,0 days 00:00:00,
36268513,24-08-2023,0 days 13:45:00,0 days 15:00:00,25-08-2023
36268523,14-06-2022,0 days 10:00:00,0 days 16:45:00,15-06-2022
36268818,,0 days 00:00:00,0 days 00:00:00,
36276485,,0 days 00:00:00,0 days 00:00:00,
36279746,,0 days 00:00:00,0 days 00:00:00,
36283779,30-05-2023,0 days 15:00:00,0 days 11:15:00,31-05-2023
36284674,17-01-2022,0 days 16:45:00,0 days 13:00:00,17-01-2022
36285161,08-06-2022,0 days 15:30:00,0 days 12:45:00,10-06-2022
36286037,14-02-2023,0 days 16:00:00,0 days 15:15:00,15-02-2023
36287354,07-03-2023,0 days 12:30:00,0 days 09:30:00,07-03-2023
36287663,15-01-2023,0 days 09:00:00,0 days 13:45:00,15-01-2023
36289915,16-04-2024,0 days 14:30:00,0 days 12:15:00,16-04-2024
36291079,16-12-2022,0 days 13:45:00,0 days 10:30:00,16-12-2022
36293187,12-07-2023,0 days 09:45:00,0 days 13:45:00,13-07-2023
36300488,,0 days 00:00:00,0 days 00:00:00,
36301942,,0 days 00:00:00,0 days 00:00:00,
36302665,,0 days 00:00:00,0 days 00:00:00,
36303279,,0 days 00:00:00,0 days 00:00:00,
36304554,,0 days 00:00:00,0 days 00:00:00,
36304716,,0 days 00:00:00,0 days 00:00:00,
36309284,24-01-2024,0 days 12:15:00,0 days 17:30:00,26-01-2024
36313207,04-01-2023,0 days 10:45:00,0 days 09:30:00,05-01-2023
36316891,,0 days 00:00:00,0 days 00:00:00,
36318342,11-05-2024,0 days 16:15:00,0 days 14:45:00,13-05-2024
36321069,26-02-2023,0 days 16:45:00,0 days 11:00:00,27-02-2023
36326066,02-03-2022,0 days 16:15:00,0 days 10:45:00,03-03-2022
36332415,,0 days 00:00:00,0 days 00:00:00,
36339331,08-06-2022,0 days 13:30:00,0 days 15:45:00,10-06-2022
36339581,27-10-2022,0 days 13:00:00,0 days 12:15:00,28-10-2022
36343945,01-01-2023,0 days 15:15:00,0 days 16:45:00,03-01-2023
36344101,29-12-2022,0 days 11:00:00,0 days 17:30:00,29-12-2022
36344124,30-12-2022,0 days 11:15:00,0 days 17:15:00,01-01-2023
36344134,26-12-2023,0 days 12:00:00,0 days 00:00:00,
36346840,,0 days 00:00:00,0 days 00:00:00,
36347136,03-05-2023,0 days 12:00:00,0 days 00:00:00,
36347568,07-02-2023,0 days 12:15:00,0 days 11:15:00,07-02-2023
36348589,28-11-2023,0 days 09:30:00,0 days 11:00:00,28-11-2023
36349479,21-12-2022,0 days 13:00:00,0 days 11:45:00,23-12-2022
36349780,31-05-2022,0 days 09:30:00,0 days 10:15:00,02-06-2022
36351512,19-02-2024,0 days 16:30:00,0 days 00:00:00,
36351536,07-06-2022,0 days 13:30:00,0 days 15:15:00,08-06-2022
36351620,08-12-2023,0 days 16:15:00,0 days 00:00:00,
36356418,15-03-2023,0 days 17:15:00,0 days 11:15:00,16-03-2023
36358707,05-11-2023,0 days 15:30:00,0 days 00:00:00,
36359460,02-02-2024,0 days 12:45:00,0 days 10:15:00,03-02-2024
36363828,28-04-2022,0 days 17:15:00,0 days 12:15:00,28-04-2022
36371624,11-09-2022,0 days 14:15:00,0 days 13:45:00,11-09-2022
36374809,30-07-2023,0 days 14:00:00,0 days 00:00:00,
36375893,12-01-2022,0 days 12:30:00,0 days 17:30:00,13-01-2022
36376649,07-02-2024,0 days 17:30:00,0 days 00:00:00,
36378490,,0 days 00:00:00,0 days 00:00:00,
36379955,25-05-2022,0 days 11:00:00,0 days 16:45:00,27-05-2022
36382643,08-01-2023,0 days 15:45:00,0 days 11:15:00,08-01-2023
36383160,06-03-2024,0 days 17:00:00,0 days 09:45:00,06-03-2024
36386383,25-04-2024,0 days 10:45:00,0 days 17:30:00,27-04-2024
36388840,03-09-2022,0 days 11:15:00,0 days 10:30:00,03-09-2022
36389336,,0 days 00:00:00,0 days 00:00:00,
36390882,09-06-2023,0 days 10:15:00,0 days 16:30:00,09-06-2023
36392862,07-07-2022,0 days 15:15:00,0 days 16:00:00,07-07-2022
36400904,18-06-2023,0 days 17:30:00,0 days 11:15:00,18-06-2023
36406040,17-02-2022,0 days 14:45:00,0 days 15:00:00,18-02-2022
36412117,12-12-2023,0 days 15:30:00,0 days 00:00:00,
36414995,18-06-2023,0 days 11:15:00,0 days 00:00:00,
36415300,,0 days 00:00:00,0 days 00:00:00,
36419131,24-07-2022,0 days 13:15:00,0 days 12:15:00,26-07-2022
36420551,28-10-2023,0 days 14:00:00,0 days 12:45:00,28-10-2023
36421157,,0 days 00:00:00,0 days 00:00:00,
36421274,08-10-2022,0 days 10:45:00,0 days 13:15:00,09-10-2022
36424359,28-01-2024,0 days 17:00:00,0 days 09:15:00,30-01-2024
36431748,24-10-2023,0 days 09:00:00,0 days 00:00:00,
36437571,02-06-2023,0 days 16:15:00,0 days 13:15:00,03-06-2023
36441107,03-07-2022,0 days 13:45:00,0 days 15:00:00,04-07-2022
36441609,12-02-2024,0 days 16:45:00,0 days 10:15:00,12-02-2024
36446456,31-07-2022,0 days 13:45:00,0 days 10:30:00,01-08-2022
36448791,06-02-2024,0 days 13:15:00,0 days 09:15:00,07-02-2024
36450861,19-02-2022,0 days 11:15:00,0 days 12:45:00,20-02-2022
36451514,29-04-2023,0 days 13:45:00,0 days 00:00:00,
36457435,24-07-2023,0 days 13:45:00,0 days 09:00:00,24-07-2023
36458389,07-03-2022,0 days 14:30:00,0 days 09:00:00,08-03-2022
36465567,18-08-2023,0 days 17:30:00,0 days 09:30:00,19-08-2023
36471174,05-08-2023,0 days 15:00:00,0 days 00:00:00,
36474993,15-01-2023,0 days 10:30:00,0 days 14:15:00,17-01-2023
36476938,27-04-2023,0 days 12:15:00,0 days 16:00:00,28-04-2023
36477373,27-04-2022,0 days 11:45:00,0 days 15:15:00,27-04-2022
36480587,08-01-2022,0 days 10:15:00,0 days 11:45:00,08-01-2022
36481124,16-07-2022,0 days 11:30:00,0 days 10:15:00,18-07-2022
36482710,08-01-2022,0 days 09:45:00,0 days 10:30:00,09-01-2022
36483355,17-04-2023,0 days 10:00:00,0 days 00:00:00,
36485314,08-02-2022,0 days 12:15:00,0 days 12:15:00,09-02-2022
36486839,17-07-2022,0 days 17:30:00,0 days 16:45:00,18-07-2022
36487117,19-02-2023,0 days 13:00:00,0 days 12:00:00,21-02-2023
36487434,,0 days 00:00:00,0 days 00:00:00,
36490232,19-01-2022,0 days 13:30:00,0 days 12:45:00,19-01-2022
36490721,,0 days 00:00:00,0 days 00:00:00,
36491667,27-02-2024,0 days 16:30:00,0 days 00:00:00,
36491961,27-07-2022,0 days 15:00:00,0 days 15:00:00,28-07-2022
36494075,30-04-2023,0 days 09:45:00,0 days 00:00:00,
36496940,,0 days 00:00:00,0 days 00:00:00,
36505045,09-02-2023,0 days 17:30:00,0 days 10:30:00,09-02-2023
36505555,,0 days 00:00:00,0 days 00:00:00,
36506446,11-04-2024,0 days 13:15:00,0 days 09:15:00,11-04-2024
36506844,08-08-2023,0 days 09:30:00,0 days 11:45:00,10-08-2023
36507671,13-09-2023,0 days 13:15:00,0 days 13:00:00,13-09-2023
36509837,,0 days 00:00:00,0 days 00:00:00,
36510771,23-10-2023,0 days 13:45:00,0 days 00:00:00,
36515110,,0 days 00:00:00,0 days 00:00:00,
36516237,,0 days 00:00:00,0 days 00:00:00,
36519478,02-02-2024,0 days 10:45:00,0 days 10:45:00,02-02-2024
36522736,20-08-2023,0 days 10:45:00,0 days 00:00:00,
36523174,04-05-2022,0 days 12:45:00,0 days 16:15:00,06-05-2022
36524771,,0 days 00:00:00,0 days 00:00:00,
36527418,17-04-2023,0 days 15:15:00,0 days 00:00:00,
36529990,15-10-2023,0 days 14:15:00,0 days 13:45:00,16-10-2023
36530970,03-02-2024,0 days 09:15:00,0 days 13:45:00,03-02-2024
36532585,28-01-2023,0 days 15:30:00,0 days 09:30:00,30-01-2023
36534946,09-09-2023,0 days 16:15:00,0 days 00:00:00,
36536904,27-01-2022,0 days 11:45:00,0 days 11:30:00,27-01-2022
36537596,15-04-2022,0 days 11:15:00,0 days 12:15:00,15-04-2022
36538392,28-11-2022,0 days 13:30:00,0 days 14:00:00,29-11-2022
36542426,,0 days 00:00:00,0 days 00:00:00,
36549185,,0 days 00:00:00,0 days 00:00:00,
36549669,12-08-2022,0 days 12:00:00,0 days 13:30:00,14-08-2022
36550919,,0 days 00:00:00,0 days 00:00:00,
36551425,10-12-2023,0 days 15:15:00,0 days 00:00:00,
36558133,,0 days 00:00:00,0 days 00:00:00,
36558526,18-02-2024,0 days 15:15:00,0 days 13:30:00,19-02-2024
36559744,08-12-2023,0 days 16:30:00,0 days 17:30:00,09-12-2023
36561171,,0 days 00:00:00,0 days 00:00:00,
36561786,16-07-2023,0 days 09:15:00,0 days 15:30:00,16-07-2023
36563007,,0 days 00:00:00,0 days 00:00:00,
36567299,22-03-2023,0 days 10:15:00,0 days 09:15:00,23-03-2023
36568577,13-09-2023,0 days 17:15:00,0 days 13:15:00,15-09-2023
36569756,28-03-2023,0 days 15:45:00,0 days 00:00:00,
36569812,28-01-2022,0 days 10:30:00,0 days 13:00:00,29-01-2022
36575666,05-06-2023,0 days 12:00:00,0 days 00:00:00,
36577865,11-08-2024,0 days 16:00:00,0 days 00:00:00,
36580682,04-02-2024,0 days 13:00:00,0 days 09:15:00,05-02-2024
36586421,31-05-2023,0 days 13:15:00,0 days 15:30:00,01-06-2023
36586910,,0 days 00:00:00,0 days 00:00:00,
36588172,16-10-2023,0 days 15:45:00,0 days 14:00:00,18-10-2023
36589592,22-02-2022,0 days 09:45:00,0 days 11:45:00,23-02-2022
36590610,24-05-2023,0 days 13:30:00,0 days 00:00:00,
36592292,28-01-2022,0 days 12:00:00,0 days 16:45:00,28-01-2022
36593436,08-10-2022,0 days 10:00:00,0 days 13:00:00,08-10-2022
36594858,,0 days 00:00:00,0 days 00:00:00,
36601541,,0 days 00:00:00,0 days 00:00:00,
36601799,17-10-2023,0 days 10:30:00,0 days 10:15:00,19-10-2023
36604504,,0 days 00:00:00,0 days 00:00:00,
36605704,,0 days 00:00:00,0 days 00:00:00,
36608482,02-05-2022,0 days 14:45:00,0 days 15:45:00,03-05-2022
36610839,15-01-2022,0 days 09:30:00,0 days 17:00:00,15-01-2022
36614713,26-10-2023,0 days 09:30:00,0 days 13:00:00,26-10-2023
36616333,28-09-2022,0 days 15:30:00,0 days 11:30:00,28-09-2022
36617042,25-12-2024,0 days 12:15:00,0 days 00:00:00,
36618219,03-09-2022,0 days 15:00:00,0 days 15:45:00,03-09-2022
36626968,24-01-2024,0 days 16:30:00,0 days 00:00:00,
36629414,,0 days 00:00:00,0 days 00:00:00,
36630469,,0 days 00:00:00,0 days 00:00:00,
36633710,,0 days 00:00:00,0 days 00:00:00,
36634065,15-03-2023,0 days 17:00:00,0 days 16:45:00,16-03-2023
36634140,02-09-2023,0 days 09:15:00,0 days 15:30:00,02-09-2023
36637137,,0 days 00:00:00,0 days 00:00:00,
36637470,20-12-2023,0 days 10:45:00,0 days 00:00:00,
36640629,15-03-2024,0 days 15:00:00,0 days 00:00:00,
36643133,,0 days 00:00:00,0 days 00:00:00,
36650222,28-03-2023,0 days 12:45:00,0 days 14:45:00,29-03-2023
36652012,16-05-2023,0 days 11:00:00,0 days 11:00:00,17-05-2023
36656301,04-03-2023,0 days 15:30:00,0 days 00:00:00,
36658273,13-01-2022,0 days 10:15:00,0 days 10:00:00,15-01-2022
36659217,15-06-2022,0 days 09:00:00,0 days 12:15:00,16-06-2022
36661903,09-05-2022,0 days 10:15:00,0 days 16:30:00,09-05-2022
36664201,19-11-2022,0 days 11:45:00,0 days 17:00:00,21-11-2022
36665991,14-07-2023,0 days 12:00:00,0 days 14:00:00,14-07-2023
36668369,25-02-2022,0 days 13:15:00,0 days 09:30:00,25-02-2022
36672224,03-07-2023,0 days 14:45:00,0 days 13:30:00,04-07-2023
36672234,22-05-2024,0 days 11:30:00,0 days 00:00:00,
36687785,31-03-2022,0 days 09:15:00,0 days 16:15:00,01-04-2022
36692577,,0 days 00:00:00,0 days 00:00:00,
36702802,04-01-2024,0 days 13:30:00,0 days 10:45:00,05-01-2024
